Comparison of Random Number Generation Methods
============================================================
Index | random.randint | random.sample | random.uniform | numpy.random.randint
  605 |         214163 |        120880 |        267796 |            165601
  606 |          15604 |        322105 |        298916 |            227220
  607 |         152855 |         75601 |        283416 |            145404
  608 |         131693 |        237758 |        144458 |            291555
  609 |         148364 |        173215 |        185003 |            124416
  610 |         137707 |        197443 |        221598 |            166417
  611 |         216498 |        161490 |        178585 |             37342
  612 |         298873 |        228776 |        176715 |             22998
  613 |         252891 |        277210 |        228728 |            242975
  614 |         303453 |        171705 |        220521 |            274663
  615 |          94519 |        170181 |         97610 |            283750
  616 |         300282 |        171803 |        140840 |            113191
  617 |         125922 |        161094 |        197752 |            232969
  618 |         298343 |         15759 |          8359 |            237499
  619 |         173910 |          3224 |         53164 |            172349
  620 |         226506 |        130233 |          3081 |            123675
  621 |         100318 |        285052 |        222554 |            240883
  622 |         141520 |        104702 |         80472 |            223086
  623 |         210918 |         57459 |        284661 |            265566
  624 |         225677 |        276090 |         55872 |            108717
  625 |         158137 |        210554 |        188232 |             89681
  626 |          24799 |        136610 |        100779 |            199168
  627 |         276184 |        200567 |         90042 |            127626
  628 |         306383 |        279948 |        209356 |            320722
  629 |         277652 |        275368 |        166834 |              1107
  630 |         177548 |        138856 |        299339 |            142844
  631 |         296300 |         49944 |        220051 |            131406
  632 |         266039 |        232456 |        142948 |             93305
  633 |         180736 |         50367 |        287567 |               719
  634 |         232442 |        318355 |        247220 |             22580
  635 |         167543 |          1099 |        203129 |            320177
  636 |          37509 |         33243 |        288144 |            200126
  637 |          81289 |        243754 |        167001 |            280509
  638 |         103218 |        239770 |        104523 |            197959
  639 |         260449 |        127885 |        232426 |             58074
  640 |         238734 |         39594 |        112050 |            300947
  641 |         186669 |        138891 |        119558 |            134505
  642 |         275561 |        226376 |         24337 |            322162
  643 |          28024 |        181451 |         48907 |            238954
  644 |          12808 |        272285 |        219603 |            279747
  645 |         267963 |        256756 |        183154 |            212906
  646 |           8429 |        173287 |        280833 |             18360
  647 |         147008 |        268708 |        248048 |             12806
  648 |         255431 |        122188 |         70967 |             68572
  649 |         307723 |         24793 |        292263 |            216346
  650 |         319157 |        125442 |         43216 |            156660
  651 |          46332 |        197331 |        187643 |            180578
  652 |         218736 |        160532 |        147110 |            277728
  653 |          19664 |         36418 |        286330 |            303266
  654 |         215944 |        172274 |         67925 |            293629
  655 |          65546 |        157734 |        150413 |            253391
  656 |         258774 |         16844 |         51341 |             87218
  657 |          95202 |         91347 |         30329 |             97563
  658 |          91328 |        165003 |         74912 |            148657
  659 |         223822 |        279498 |         88087 |            319954
  660 |         302208 |        303476 |        195872 |            127182
  661 |          69769 |        183292 |        292730 |            167345
  662 |         174986 |          3348 |        277675 |             82611
  663 |         283607 |        264568 |        210448 |            238147
  664 |         257500 |         51716 |        318534 |             52585
  665 |           2160 |        238865 |          8890 |             73516
  666 |          72218 |         38141 |        164159 |              5971
  667 |         117385 |         62725 |         97445 |            114698
  668 |          26527 |         43990 |        116991 |             15411
  669 |           8395 |        243663 |         87277 |            245116
  670 |          94944 |        157017 |         32513 |            125862
  671 |         233993 |        265592 |        146295 |            291772
  672 |          48879 |        253543 |        241458 |            230009
  673 |          53714 |         39695 |        299535 |            319011
  674 |          48607 |        237879 |        171883 |            190347
  675 |         205410 |        114234 |        319296 |             73459
  676 |          71079 |         96262 |         93877 |            302712
  677 |          48837 |        158674 |        144710 |            259968
  678 |         212219 |         70857 |        126415 |            162697
  679 |         189101 |        271518 |        321353 |              9315
  680 |         263948 |        300833 |        218577 |             20113
  681 |         173327 |         21918 |         43241 |              7895
  682 |           6662 |        229517 |        162472 |            188782
  683 |         229468 |        292716 |         12815 |            136253
  684 |          72984 |        222022 |        237234 |            319712
  685 |         296448 |        201199 |        284562 |            151832
  686 |         126444 |        247458 |        303402 |            320148
  687 |         186416 |        100256 |        265253 |            171980
  688 |         144826 |        158209 |        218759 |            236150
  689 |         265965 |        302092 |        143647 |            158846
  690 |          48686 |        293448 |        117350 |             84028
  691 |          89160 |        156471 |         73966 |            320950
  692 |         114238 |        312412 |        243061 |            270732
  693 |         139754 |        139144 |        208569 |            239731
  694 |          81948 |           325 |        208859 |             31639
  695 |         318234 |        241479 |         93310 |             85060
  696 |         211897 |        160353 |         14321 |            221871
  697 |         124409 |        193993 |        305132 |            232875
  698 |          91556 |        254182 |        224219 |            143305
  699 |         203001 |        274794 |        121965 |            303477
  700 |           5548 |        183556 |        311149 |            271952
  701 |          46071 |        220899 |        114450 |             15362
  702 |          72081 |        224447 |        104906 |            240738
  703 |         183781 |         30918 |        289580 |            258468
  704 |         308550 |        167182 |        269436 |            127112
  705 |          68718 |        301779 |        204131 |            183014
  706 |         321436 |         76319 |        226611 |             56281
  707 |         247016 |         86641 |        314023 |             26895
  708 |         122858 |        272706 |         12777 |            138711
  709 |          34272 |         33372 |        229737 |            276551
  710 |          81267 |        107342 |          6763 |             43634
  711 |         191091 |        275566 |        179050 |            176834
  712 |         277113 |        244667 |        245330 |            308436
  713 |         188623 |        145746 |         53856 |            177764
  714 |         103187 |          1448 |        294110 |            246409
  715 |         174966 |        297160 |        208580 |            285293
  716 |         148109 |        238667 |        139796 |             56478
  717 |         109684 |         52022 |        316794 |            264877
  718 |         245504 |        309919 |        144402 |             81938
  719 |          93260 |        305339 |         12560 |            134370
  720 |          36990 |         64897 |        170901 |             27894
  721 |          29118 |        308195 |        101504 |            173835
  722 |          32237 |         14225 |        139865 |            219374
  723 |         287783 |        134382 |         29531 |            296458
  724 |         146601 |        218262 |        321229 |            234334
  725 |          39204 |         92289 |         82447 |            315930
  726 |         319449 |        155547 |        287216 |            168668
  727 |         139266 |        317509 |          7733 |             21348
  728 |         296781 |        109839 |        191769 |             78957
  729 |         262029 |         46885 |        228205 |            230684
  730 |         205532 |        200628 |        174208 |             49982
  731 |          14522 |        150898 |        310291 |             51386
  732 |         170434 |         48675 |        203906 |            315030
  733 |         230109 |        164144 |         39278 |            303424
  734 |         306879 |         20371 |        136158 |            309013
  735 |          25519 |         98287 |        264523 |             33815
  736 |          96711 |        101392 |         38827 |             61482
  737 |         114189 |        252828 |        178040 |            188545
  738 |          53786 |         12970 |        253753 |             51534
  739 |         131365 |        317881 |         63267 |            318774
  740 |         232623 |        289913 |        289542 |            241214
  741 |         263888 |         71752 |        247547 |            233903
  742 |         261703 |        276176 |        134220 |             62317
  743 |         105378 |        190801 |        256524 |               592
  744 |         168934 |        251683 |        216658 |             12053
  745 |         282404 |        318971 |        309690 |            135056
  746 |         259544 |         64190 |        305074 |            280169
  747 |         281911 |        157898 |         17917 |            208634
  748 |         122119 |        105278 |        185382 |             51245
  749 |         289148 |        128132 |        304951 |             44742
  750 |         184899 |        195834 |        242514 |             22857
  751 |          53713 |         37416 |         46930 |             58599
  752 |         240929 |          9879 |        229877 |             21952
  753 |         316749 |        254148 |        157576 |             51785
  754 |          87812 |        315978 |        148584 |             59058
  755 |         269403 |        107516 |        219198 |            102515
  756 |          90078 |         24036 |         33363 |            224924
  757 |          82779 |        296276 |          5838 |            303461
  758 |         170096 |        222188 |         90811 |            270246
  759 |          70701 |        135807 |         27814 |            255621
  760 |         224983 |        120609 |        140065 |            259963
  761 |         230540 |        258527 |         16267 |             81169
  762 |          64702 |        246763 |        153988 |             42958
  763 |           7298 |        218017 |        247887 |            255291
  764 |         216896 |        169062 |        225770 |             39124
  765 |         168969 |        250786 |        118116 |             70800
  766 |         297438 |         44364 |         13903 |            157201
  767 |         172004 |          6980 |        205167 |             46691
  768 |          21236 |        112891 |        174788 |            317105
  769 |         142511 |          5062 |        274675 |            186236
  770 |         187907 |         37975 |        163809 |            217196
  771 |         245591 |        238442 |        264013 |            162537
  772 |         295324 |        263275 |        228760 |            215273
  773 |          19142 |         35210 |        135811 |            155530
  774 |         261909 |        168357 |        162794 |            284437
  775 |         204086 |        279798 |        232065 |            182402
  776 |         202390 |         17206 |        130649 |            106740
  777 |         131373 |        214753 |        234554 |             20083
  778 |         170336 |        138006 |          3662 |            245181
  779 |         299913 |        247600 |         41346 |            187480
  780 |         158883 |        192131 |        239882 |             38108
  781 |          82407 |        211210 |         57409 |            169672
  782 |         282329 |         93120 |         75403 |            195955
  783 |         248868 |         86606 |        115552 |            110890
  784 |         274326 |        312782 |        199779 |            170686
  785 |         111657 |        217946 |         46361 |            294996
  786 |          36968 |        266840 |        167692 |            118553
  787 |         182354 |        213368 |         68010 |            217969
  788 |         198016 |        317566 |        230647 |            105904
  789 |          24517 |        254779 |        147890 |            219646
  790 |          50974 |         67158 |        185737 |             63135
  791 |         105250 |        163983 |        233406 |            202087
  792 |         276659 |        228218 |        236798 |             99188
  793 |         169938 |         36120 |        159370 |            194758
  794 |         216136 |         79891 |         78418 |            321201
  795 |          98508 |        211900 |        311093 |            159926
  796 |         260952 |        104676 |        224197 |            198893
  797 |         309606 |         49164 |         63180 |              6281
  798 |          63355 |        298632 |        277404 |            210130
  799 |           2431 |        227583 |        130241 |            199645
  800 |         201718 |        202861 |         15352 |            166949
  801 |         321733 |        210442 |        301145 |            215407
  802 |          74866 |        277780 |        130863 |             70317
  803 |         280023 |        288454 |        254458 |             27116
  804 |         210950 |        171277 |           865 |            124921
  805 |         252373 |        243677 |        270627 |            120729
  806 |          32489 |         27191 |        101190 |            216867
  807 |         106924 |         16987 |         99499 |            149858
  808 |         274217 |         47976 |         79352 |            272540
  809 |         134756 |        205747 |         83302 |            281094
  810 |         230399 |        234973 |        190126 |            240843
  811 |         221330 |        264193 |        138274 |            234269
  812 |          21229 |         33793 |         74354 |            290596
  813 |         209138 |          9470 |         94122 |            209032
  814 |          24930 |         13530 |        233905 |              4134
  815 |         299691 |        281830 |        260676 |             33814
  816 |         157723 |        162123 |        263968 |            120111
  817 |          63709 |         43835 |        106086 |            182761
  818 |         226751 |        247724 |         95744 |             88236
  819 |          45289 |        246749 |         60891 |             57713
  820 |          60240 |         16838 |        230814 |            115373
  821 |         285393 |        253058 |        202534 |            247411
  822 |         166713 |         27606 |         63185 |            141419
  823 |         162501 |        147574 |        268828 |            140515
  824 |         152123 |        195936 |        271004 |            167885
  825 |          42926 |         70958 |        232829 |            209062
  826 |         202441 |        278287 |         43205 |            153009
  827 |         260596 |        194706 |         65241 |            219048
  828 |         260223 |         79591 |        160633 |            119931
  829 |         141248 |        229794 |         39352 |            190378
  830 |          61126 |        196044 |        183437 |              8202
  831 |         139537 |         81015 |         22426 |            256865
  832 |         129570 |        281311 |        251292 |            282696
  833 |         299897 |         49175 |        303214 |             51817
  834 |           5765 |        279249 |        287831 |             93443
  835 |          50376 |        297566 |        114094 |            248860
  836 |         304578 |        160686 |        214474 |             57386
  837 |          28379 |        119546 |        306932 |            301033
  838 |          87260 |        149245 |        124142 |            180327
  839 |         118086 |        195770 |         57725 |            275078
  840 |         147425 |         23528 |        264079 |            307284
  841 |         169579 |        126572 |        137843 |            126004
  842 |         295351 |        144106 |        274814 |            248383
  843 |         264192 |        290215 |        291684 |            171922
  844 |          24684 |         34134 |        179816 |             98481
  845 |         132495 |         86044 |        197146 |            300580
  846 |         195525 |         62456 |          4321 |            306479
  847 |         291747 |        223479 |        196577 |            167634
  848 |          18218 |        119796 |        304799 |             39582
  849 |           8201 |         31690 |        306703 |            214127
  850 |          93424 |         24183 |        149594 |              6843
  851 |         282226 |          4953 |        226636 |            268251
  852 |         138817 |        183701 |        124407 |            192158
  853 |         153290 |         88573 |        136982 |            120177
  854 |         211279 |         36688 |         10800 |            114100
  855 |         300036 |        285024 |         35378 |            150343
  856 |         208488 |        318406 |        148456 |             60648
  857 |         280645 |        318434 |         23597 |             42355
  858 |         290101 |        133862 |        299048 |            275787
  859 |         164623 |        271416 |        280588 |            104976
  860 |          90337 |        141567 |        305839 |            315395
  861 |         189049 |        276405 |         47343 |            293478
  862 |         127070 |         32680 |         63627 |            234531
  863 |          41290 |         80014 |        222913 |            188414
  864 |         205196 |          2661 |        166641 |            261047
  865 |         246295 |        118480 |        258145 |             31383
  866 |         259871 |        148353 |        229388 |             21464
  867 |          28970 |         98535 |         35726 |              3442
  868 |          80950 |        273023 |        317513 |             66080
  869 |         232680 |         69745 |         95786 |            193270
  870 |         131167 |        168583 |        239863 |             78959
  871 |          86788 |         20780 |        171081 |            311297
  872 |         184928 |          7701 |        227498 |             79700
  873 |         207725 |         94323 |        259635 |             39185
  874 |         293875 |         78950 |        246617 |            285248
  875 |         128186 |        215515 |         23420 |             60813
  876 |         207364 |         48699 |         17071 |            117796
  877 |         158409 |        202620 |         97513 |            296675
  878 |         237574 |        151637 |         95786 |            155864
  879 |         249800 |        134280 |        231511 |            182864
  880 |          48377 |         78999 |        257512 |             12854
  881 |         150519 |         94780 |        282639 |            141584
  882 |         206865 |        153801 |         33512 |             71802
  883 |         188378 |        179809 |        154695 |            123016
  884 |         264155 |        251999 |         35960 |            156204
  885 |         217891 |         94231 |        138232 |            274807
  886 |         232906 |        183131 |        114966 |            238706
  887 |          28489 |         70739 |        266928 |              1820
  888 |          80334 |        149487 |        100718 |            157663
  889 |          30273 |         32866 |        248127 |            193657
  890 |         283939 |         74449 |        316375 |            239936
  891 |         164196 |        100411 |        123969 |            221565
  892 |         152176 |         89014 |        313672 |            270306
  893 |          95690 |        290306 |        108785 |            209975
  894 |         127529 |        157333 |        158896 |            183027
  895 |         116452 |        194619 |         73145 |             42873
  896 |         182853 |        273932 |        199870 |            252838
  897 |         260396 |        231231 |        264125 |            225763
  898 |          78959 |        186323 |        146771 |            175442
  899 |          89647 |        112214 |        166445 |            198208
  900 |         221227 |          6586 |        169705 |            252285
  901 |         184098 |         78227 |        188782 |            238287
  902 |         265169 |         33557 |        114747 |             98647
  903 |         188310 |        192279 |        133385 |             49586
  904 |         193890 |         88683 |        194043 |              6431
  905 |         178820 |        313417 |        186992 |             59155
  906 |         224657 |        129850 |        230793 |            179730
  907 |         204352 |        231059 |        290959 |            255915
  908 |          84244 |        114934 |        254004 |             70027
  909 |           7367 |        184565 |        240010 |            306812
  910 |          51987 |        251992 |         15654 |            312323
  911 |         174212 |        308437 |         13185 |            147218
  912 |          64533 |         60466 |        305623 |            207484
  913 |         177065 |         79637 |        139679 |             93987
  914 |          74483 |         30829 |        139452 |            318903
  915 |          19428 |        197973 |         37789 |              9994
  916 |         219211 |        110294 |        244239 |             20089
  917 |         200306 |        217550 |        121696 |            250385
  918 |          78681 |        152054 |        287537 |            312215
  919 |            814 |         75244 |        143965 |            277526
  920 |         275525 |        118844 |        152718 |             50218
  921 |          85272 |         87173 |        136579 |             89567
  922 |          25104 |         29561 |        260755 |             91775
  923 |          15444 |        119284 |         53742 |            182007
  924 |         191690 |        226429 |         32905 |            193678
  925 |         120782 |        196869 |         61071 |            279050
  926 |           3278 |         95896 |         96595 |            100687
  927 |         253543 |         84185 |         71440 |             43265
  928 |         141208 |        303127 |        130069 |             48570
  929 |         100654 |        199961 |        263294 |            113860
  930 |         312460 |         22991 |         16357 |            139340
  931 |         162568 |         19131 |        170692 |            266562
  932 |         176695 |        282640 |         28047 |             60514
  933 |          53618 |         95547 |        171140 |            218726
  934 |           9995 |        295303 |        224701 |            194805
  935 |         190388 |         64315 |        311420 |             34932
  936 |         201018 |          5101 |        265312 |            171098
  937 |         128692 |         91686 |        186050 |             64022
  938 |         218467 |        126299 |        191392 |            135183
  939 |         269237 |        236869 |         38939 |             88730
  940 |         297859 |         31049 |        276695 |            292354
  941 |          43498 |        186025 |         12083 |             26604
  942 |         232063 |         67701 |         49326 |             46223
  943 |         238261 |        183101 |        187358 |            100338
  944 |         298263 |        152711 |         83522 |              7116
  945 |          34992 |         91781 |        285006 |            183931
  946 |         290691 |         58910 |         74586 |            194839
  947 |         184623 |        198500 |        210217 |            204308
  948 |          23567 |        166716 |         99344 |            201895
  949 |         286194 |        214828 |        186444 |            301757
  950 |         310955 |         88918 |        277928 |            255275
  951 |          60575 |         32192 |         80943 |            154822
  952 |          57269 |        103126 |        111641 |            155866
  953 |         100632 |         90719 |        132076 |             48092
  954 |         288034 |        285135 |        301729 |            156631
  955 |         193500 |        174336 |        194223 |            272347
  956 |         221870 |        133526 |        147752 |            183473
  957 |         286416 |        207523 |         49694 |            213595
  958 |         198776 |        206444 |        220213 |            312403
  959 |           2481 |         49797 |        317623 |            217772
  960 |          35894 |        139626 |        110088 |            269498
  961 |          44664 |         32556 |        181671 |            309540
  962 |          32614 |        294390 |         91052 |            291835
  963 |         236439 |         67139 |          7995 |              7136
  964 |         295412 |        301324 |         42218 |            308362
  965 |         314621 |         40310 |         76283 |            116761
  966 |         252772 |        192094 |         24311 |            275164
  967 |         134729 |         77294 |         10368 |             42203
  968 |         154677 |        149409 |        181564 |             42430
  969 |         222353 |        282859 |        208115 |             91054
  970 |          96356 |        145223 |         26280 |            105400
  971 |           4020 |        305130 |        122194 |            193758
  972 |         269798 |         53539 |        228820 |            303476
  973 |         135111 |        282952 |         98882 |             68182
  974 |           3228 |        305437 |         97474 |            281904
  975 |         137493 |         30950 |         15315 |            105312
  976 |         175320 |         63449 |         34336 |            302038
  977 |          98001 |        280592 |         23320 |            117944
  978 |          27114 |         14134 |          2200 |            299522
  979 |         321359 |         92884 |         70849 |            192651
  980 |         186980 |        155634 |        264839 |            120878
  981 |         216283 |        191984 |          2127 |            134780
  982 |         213211 |        270850 |        294406 |            222855
  983 |         174680 |         19695 |        297549 |             53908
  984 |         318758 |        197150 |         36067 |             40974
  985 |          25037 |        285797 |         70731 |             95428
  986 |         210488 |        232195 |          7324 |            146810
  987 |         199302 |        207479 |          2611 |            210863
  988 |          13573 |        272719 |         21093 |             99456
  989 |         296382 |        166106 |        279343 |             38802
  990 |         118917 |        236525 |         37654 |            167531
  991 |          56777 |         31670 |         89544 |            320337
  992 |         210796 |        231015 |         14103 |             49972
  993 |         165544 |        176491 |        173340 |             99007
  994 |          90767 |        213479 |         93873 |            293246
  995 |         114901 |        246042 |        132503 |             19298
  996 |         268577 |        232599 |        267230 |             77003
  997 |          75693 |        243634 |        226432 |            196297
  998 |         255297 |         21559 |        232306 |             70824
  999 |         129281 |        318862 |        135014 |             93984
 1000 |         193771 |        176500 |          2232 |            171783
